Ind,authors,title,year,is_cited_own_paper,is_of_interest
110,Ashley Milsted; Guifre Vidal,Extraction of conformal data in critical quantum spin chains using the Koo-Saleur formula,2017,False,True
111,J. Ayres; M. Berben; M. Culo; Y.-T. Hsu; E. van Heumen; Y. Huang; J. Zaanen; T. Kondo; T. Takeuchi; J. R. Cooper; C. Putzke; S. Friedemann; A. Carrington; N. E. Hussey,Incoherent transport across the strange metal regime of highly overdoped cuprates,2021,False,True
112,C. W. J. Beenakker,Random-matrix theory of Majorana fermions and topological superconductors,2015,False,True
113,Robin Karlsson; Andrei Parnachev; Valentina Prilepina; Samuel Valach,"Thermal Stress Tensor Correlators, OPE and Holography",2022,False,True
114,Wen-Kun Luo; Cheng-Yong Zhang; Peng Liu; Chao Niu; Bin Wang,Dynamical spontaneous scalarization in Einstein-Maxwell-scalar models in anti-de Sitter spacetime,2022,False,True
115,Arnab Kundu,Wormholes & Holography: An Introduction,2022,False,True
116,Youka Kaku; Keiju Murata; Jun Tsujimura,Creating stars orbiting in AdS,2022,False,True
117,Horacio Casini; Marina Huerta,Lectures on entanglement in quantum field theory,2022,False,True
118,Yoshimasa Hidaka; Shi Pu; Qun Wang; Di-Lun Yang,Foundations and Applications of Quantum Kinetic Theory,2022,False,True
119,Jay Armas; Filippo Camilloni,A stable and causal model of magnetohydrodynamics,2022,False,True
120,Tsuneya Yoshida; Tomonari Mizoguchi; Yasuhiro Hatsugai,Non-Hermitian topology in rock-paper-scissors games,2022,False,True
121,Sidney Coleman,"Sidney Coleman's Dirac Lecture ""Quantum Mechanics in Your Face""",2022,False,True
122,Jan Zaanen,Lectures on quantum supreme matter,2021,True,True
123,Patrik Novosad,Lagrangians for non-relativistic gravity,2022,False,True
124,Lorenzo Gavassino,Can we make sense of dissipation without causality?,2022,False,True
125,Saurya Das; Sourav Sur,On the quantum origin of potentials,2021,False,True
126,Debanjan Chowdhury; Antoine Georges; Olivier Parcollet; Subir Sachdev,Sachdev-Ye-Kitaev Models and Beyond: A Window into Non-Fermi Liquids,2022,False,True
127,Badis Ydri,On the AdS/CFT correspondence and quantum entanglement,2021,False,True
128,Lucas Hackl; Eugenio Bianchi,"Bosonic and fermionic Gaussian states from K\""ahler structures",2021,False,True
129,Alexander Jahn; Jens Eisert,Holographic tensor network models and quantum error correction: A topical review,2021,False,True
130,Aristomenis Donos; Polydoros Kailidis; Christiana Pantelidou,Dissipation in Holographic Superfluids,2021,False,True
131,Ghanashyam Date,Lectures on Introduction to Quantum Field Theory,2022,False,True
132,Ryan Requist,Quantum covariant derivative,2022,False,True
133,Bowen Chen; Bartlomiej Czech; Zi-zhi Wang,Quantum Information in Holographic Duality,2022,False,True
134,Ali H. Chamseddine; Alain Connes; Walter D. van Suijlekom,Noncommutativity and Physics: A non-technical review,2022,False,True
135,Pavel Kovtun,Thermodynamics of polarized relativistic matter,2016,False,True
136,Rodrigo Arouca; Andrea Cappelli; Hans Hansson,Quantum Field Theory Anomalies in Condensed Matter Physics,2022,False,True
137,M. Le Delliou,Advanced General Relativity Notes,2022,False,True
138,Dmitry Ponomarev,Basic introduction to higher-spin theories,2023,False,True
