,0,1,2,3,concat_topics
Matteo_Baggioli,7,8,9,10,7 8 9 10
Wei-Jia_Li,1,5,8,9,1 5 8 9
Martin_Ammon,8,9,10,11,8 9 10 11
Daniel_Arean,7,9,10,11,7 9 10 11
Seán_Gray,8,9,10,11,8 9 10 11
Sebastian_Grieninger,8,9,10,12,8 9 10 12
Raghu_Mahajan,1,3,9,11,1 3 9 11
Maissam_Barkeshli,1,9,10,11,1 9 10 11
Maine_Christos,1,3,9,12,1 3 9 12
Darshan_G._Joshi,1,3,9,12,1 3 9 12
Maria_Tikhanovskaya,1,3,9,12,1 3 9 12
Rubem_Mondaini,1,4,7,10,1 4 7 10
Sabyasachi_Tarat,1,4,7,10,1 4 7 10
Richard_T._Scalettar,1,4,7,10,1 4 7 10
Erik_van_Heumen,3,7,9,11,3 7 9 11
Xuanbo_Feng,3,7,9,11,3 7 9 11
Silvia_Cassanelli,3,7,9,11,3 7 9 11
Linda_Neubrand,3,7,9,11,3 7 9 11
Lennart_de_Jager,3,7,9,11,3 7 9 11
Maarten_Berben,3,7,9,11,3 7 9 11
Yingkai_Huang,3,7,9,11,3 7 9 11
Takeshi_Kondo,3,7,9,11,3 7 9 11
Tsunehiro_Takeuchi,3,7,9,11,3 7 9 11
Richard_A._Davison,1,2,7,9,1 2 7 9
Simon_A._Gentle,2,7,8,9,2 7 8 9
Aurelio_Romero-Bermúdez,3,4,8,9,3 4 8 9
Joseph_A._Sulpizio,3,6,9,11,3 6 9 11
Lior_Ella,3,6,9,11,3 6 9 11
Asaf_Rozen,3,6,9,11,3 6 9 11
John_Birkbeck,3,6,9,11,3 6 9 11
David_J._Perello,3,6,9,11,3 6 9 11
Debarghya_Dutta,3,6,9,11,3 6 9 11
Moshe_Ben-Shalom,3,6,9,11,3 6 9 11
Takashi_Taniguchi,3,6,7,9,3 6 7 9
Kenji_Watanabe,3,6,7,9,3 6 7 9
Tobias_Holder,3,6,9,11,3 6 9 11
Raquel_Queiroz,3,6,9,11,3 6 9 11
Ady_Stern,3,6,9,11,3 6 9 11
